currency,strategy_id,strategy_family,selected_signal_family,policy,horizon,signal_count,total_push_count,evaluated_signal_count,signals_per_week,market_signals_per_week,quality_scope,active_weeks,active_week_share,weekly_count_cv,median_gap_days,p90_gap_days,max_gap_days,hit_rate,hit_target,random_hit_rate_mean,random_hit_rate_p05,random_hit_rate_p95,hit_lift,hit_uplift_ratio,hit_rate_10bp,random_hit_rate_10bp_mean,hit_uplift_ratio_10bp,hit_rate_25bp,random_hit_rate_25bp_mean,hit_uplift_ratio_25bp,forward_hold_rate,random_forward_hold_rate_mean,forward_hold_uplift_ratio,forward_hold_rate_10bp,random_forward_hold_rate_10bp_mean,forward_hold_uplift_ratio_10bp,forward_hold_rate_25bp,random_forward_hold_rate_25bp_mean,forward_hold_uplift_ratio_25bp,local_min_hit_rate,random_local_min_hit_rate_mean,local_min_uplift_ratio,local_min_hit_rate_10bp,random_local_min_hit_rate_10bp_mean,local_min_uplift_ratio_10bp,local_min_hit_rate_25bp,random_local_min_hit_rate_25bp_mean,local_min_uplift_ratio_25bp,hit_p_value,week_matched_random_hit_rate_mean,week_matched_hit_lift,week_matched_hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,future_regret_bps,random_future_regret_bps_mean,first_signal,last_signal
KZT,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,4,95,95,95,0.6129032258064516,0.6129032258064516,pure_spike_signals,90,0.5806451612903226,0.8962834929434947,9.0,18.700000000000003,49.0,0.2736842105263158,no_lower_price_in_next_h_observations,0.28771929824561404,0.22105263157894736,0.35789473684210527,0.951219512195122,0.951219512195122,0.30526315789473685,0.3338245614035088,0.9144418751313853,0.3684210526315789,0.38691228070175443,0.9522082161966081,0.2736842105263158,0.28771929824561404,0.951219512195122,0.30526315789473685,0.3338245614035088,0.9144418751313853,0.3684210526315789,0.38691228070175443,0.9522082161966081,0.16842105263157894,0.07694736842105264,2.1887824897400816,0.18947368421052632,0.10221052631578947,1.8537590113285274,0.23157894736842105,0.13526315789473686,1.7120622568093382,0.654485049833887,0.19592982456140354,1.3968481375358166,0.016611295681063124,42.11684222383153,26.401615843272808,58.143472755316374,0.0033222591362126247,-12.600833593291648,-3.536458836843744,120.8769876807506,112.8240539081608,2023-09-12,2026-07-28
KZT,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,4,49,49,49,0.3161290322580645,0.3161290322580645,pure_spike_signals,49,0.3161290322580645,1.4708043058552858,17.0,37.20000000000002,52.0,0.30612244897959184,no_lower_price_in_next_h_observations,0.29136054421768703,0.20306122448979594,0.3877551020408163,1.0506654214335747,1.0506654214335747,0.30612244897959184,0.33680272108843534,0.9089072914562716,0.42857142857142855,0.389047619047619,1.101591187270502,0.30612244897959184,0.29136054421768703,1.0506654214335747,0.30612244897959184,0.33680272108843534,0.9089072914562716,0.42857142857142855,0.389047619047619,1.101591187270502,0.2857142857142857,0.07857142857142857,3.6363636363636362,0.2857142857142857,0.10578231292517007,2.70096463022508,0.3877551020408163,0.13727891156462582,2.824578790882062,0.4883720930232558,0.17564625850340135,1.7428350116189002,0.016611295681063124,71.62272982074686,51.811496871436674,97.8012805882011,0.0033222591362126247,-12.075680978764337,-4.97977724127431,104.55708274674302,113.9926775786535,2023-09-13,2026-06-10
KZT,momentum_streak_4d__spike_only,spike_policy,spike_policy,spike_only,4,26,26,26,0.16774193548387098,0.16774193548387098,pure_spike_signals,26,0.16774193548387098,2.2274511131646557,33.0,79.20000000000002,103.0,0.2692307692307692,no_lower_price_in_next_h_observations,0.285,0.15384615384615385,0.4230769230769231,0.9446693657219973,0.9446693657219973,0.34615384615384615,0.32794871794871794,1.055512118842846,0.4230769230769231,0.3838461538461538,1.1022044088176355,0.2692307692307692,0.285,0.9446693657219973,0.34615384615384615,0.32794871794871794,1.055512118842846,0.4230769230769231,0.3838461538461538,1.1022044088176355,0.2692307692307692,0.07743589743589743,3.47682119205298,0.34615384615384615,0.10384615384615384,3.3333333333333335,0.4230769230769231,0.13589743589743591,3.113207547169811,0.6411960132890365,0.22910256410256408,1.1751538891997761,0.3654485049833887,91.81417688018692,67.4353015527734,125.58318327675717,0.0033222591362126247,-9.767554376001915,-6.19217540485,100.20785515739519,114.45290997692888,2023-09-22,2026-06-11
KZT,momentum_streak_5d__spike_only,spike_policy,spike_policy,spike_only,4,10,10,10,0.06451612903225806,0.06451612903225806,pure_spike_signals,10,0.06451612903225806,3.807886552931954,106.0,201.4,203.0,0.6,no_lower_price_in_next_h_observations,0.2876666666666666,0.1,0.5,2.085747392815759,2.085747392815759,0.6,0.3313333333333333,1.8108651911468814,0.6,0.38966666666666666,1.5397775876817792,0.6,0.2876666666666666,2.085747392815759,0.6,0.3313333333333333,1.8108651911468814,0.6,0.38966666666666666,1.5397775876817792,0.6,0.08166666666666665,7.346938775510205,0.6,0.10666666666666667,5.624999999999999,0.6,0.14,4.285714285714286,0.029900332225913623,0.26,2.3076923076923075,0.013289036544850499,76.30296714922035,25.86676187960849,117.35956760454978,0.0033222591362126247,90.86398229587289,-6.127312025015289,98.39348308969777,114.38451568149685,2023-09-23,2026-05-13
TJS,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,4,83,83,83,0.535483870967742,0.535483870967742,pure_spike_signals,82,0.5290322580645161,0.9552325129115563,11.0,24.0,31.0,0.27710843373493976,no_lower_price_in_next_h_observations,0.33626506024096386,0.26445783132530126,0.42168674698795183,0.8240773916159083,0.8240773916159083,0.3132530120481928,0.37481927710843377,0.8357441337190613,0.3493975903614458,0.43220883534136545,0.8083999256643747,0.27710843373493976,0.33626506024096386,0.8240773916159083,0.3132530120481928,0.37481927710843377,0.8357441337190613,0.3493975903614458,0.43220883534136545,0.8083999256643747,0.20481927710843373,0.07562248995983936,2.7084439723844924,0.20481927710843373,0.09437751004016064,2.170212765957447,0.26506024096385544,0.13558232931726905,1.9549763033175362,0.9302325581395349,0.1982730923694779,1.3976098845452705,0.019933554817275746,24.98697603221422,9.67089659867252,40.09073051600429,0.0033222591362126247,-21.31304265019311,3.497015175825705,127.40573082929343,100.90088257606631,2023-09-12,2026-08-21
TJS,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,4,49,49,49,0.3161290322580645,0.3161290322580645,pure_spike_signals,49,0.3161290322580645,1.4708043058552858,17.5,43.0,129.0,0.24489795918367346,no_lower_price_in_next_h_observations,0.3389795918367347,0.22448979591836735,0.4489795918367347,0.7224563515954244,0.7224563515954244,0.24489795918367346,0.37619047619047613,0.6509945750452081,0.30612244897959184,0.43775510204081625,0.6993006993006995,0.24489795918367346,0.3389795918367347,0.7224563515954244,0.24489795918367346,0.37619047619047613,0.6509945750452081,0.30612244897959184,0.43775510204081625,0.6993006993006995,0.24489795918367346,0.07523809523809523,3.25497287522604,0.24489795918367346,0.09653061224489794,2.5369978858350954,0.30612244897959184,0.1348299319727891,2.270433905146317,0.9368770764119602,0.18823129251700677,1.3010480664980124,0.15946843853820597,52.449627010062166,36.09934891423208,70.94262569831672,0.0033222591362126247,-39.429414241863086,5.679119498033615,129.93107016785714,99.44661488446329,2023-09-13,2026-08-22
TJS,momentum_streak_4d__spike_only,spike_policy,spike_policy,spike_only,4,28,28,28,0.18064516129032257,0.18064516129032257,pure_spike_signals,28,0.18064516129032257,2.129721645125082,25.0,70.80000000000001,135.0,0.17857142857142858,no_lower_price_in_next_h_observations,0.3319047619047619,0.17857142857142858,0.4642857142857143,0.5380200860832137,0.5380200860832137,0.21428571428571427,0.3703571428571429,0.5785920925747348,0.21428571428571427,0.4307142857142857,0.49751243781094523,0.17857142857142858,0.3319047619047619,0.5380200860832137,0.21428571428571427,0.3703571428571429,0.5785920925747348,0.21428571428571427,0.4307142857142857,0.49751243781094523,0.17857142857142858,0.07476190476190475,2.3885350318471343,0.21428571428571427,0.09273809523809523,2.3106546854942236,0.21428571428571427,0.13154761904761902,1.6289592760180998,0.973421926910299,0.13988095238095238,1.2765957446808511,0.36212624584717606,84.06066045562407,53.436094829665365,117.73939891991338,0.0033222591362126247,-31.55360516216656,1.5031202201758125,118.18917278576059,100.4916688303409,2023-10-25,2026-05-13
TJS,momentum_streak_5d__spike_only,spike_policy,spike_policy,spike_only,4,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.947456530637899,34.0,114.39999999999999,241.0,0.1875,no_lower_price_in_next_h_observations,0.33541666666666664,0.125,0.5625,0.5590062111801243,0.5590062111801243,0.1875,0.374375,0.5008347245409015,0.25,0.43166666666666664,0.5791505791505792,0.1875,0.33541666666666664,0.5590062111801243,0.1875,0.374375,0.5008347245409015,0.25,0.43166666666666664,0.5791505791505792,0.1875,0.0825,2.2727272727272725,0.1875,0.10333333333333333,1.814516129032258,0.25,0.14166666666666666,1.7647058823529411,0.9235880398671097,0.19854166666666667,0.9443861490031479,0.7308970099667774,62.815629087438,37.152614185716274,92.01669971326241,0.0033222591362126247,-28.12753401319021,3.1770130485581856,134.65506750604635,99.61304670072643,2023-10-26,2026-05-14
UZS,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,4,88,88,88,0.567741935483871,0.567741935483871,pure_spike_signals,85,0.5483870967741935,0.9388592075334022,10.0,22.0,36.0,0.2727272727272727,no_lower_price_in_next_h_observations,0.3218181818181818,0.25,0.38636363636363635,0.8474576271186441,0.8474576271186441,0.3181818181818182,0.35996212121212123,0.8839313900873408,0.36363636363636365,0.41068181818181815,0.8854454897620366,0.2727272727272727,0.3218181818181818,0.8474576271186441,0.3181818181818182,0.35996212121212123,0.8839313900873408,0.36363636363636365,0.41068181818181815,0.8854454897620366,0.17045454545454544,0.07261363636363635,2.347417840375587,0.2159090909090909,0.09431818181818183,2.2891566265060237,0.2727272727272727,0.1440151515151515,1.893740136770121,0.8903654485049833,0.21075757575757575,1.2940330697340043,0.059800664451827246,29.345733199525956,15.931114824348608,43.2195369635355,0.0033222591362126247,-15.941152402151447,-1.25976597472686,126.8167680332595,106.78047525794796,2023-09-12,2026-08-22
UZS,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,4,53,53,53,0.3419354838709677,0.3419354838709677,pure_spike_signals,53,0.3419354838709677,1.3872736939359847,15.5,35.9,68.0,0.33962264150943394,no_lower_price_in_next_h_observations,0.32163522012578616,0.22641509433962265,0.4339622641509434,1.0559249120062573,1.0559249120062573,0.39622641509433965,0.3586163522012579,1.1048754822869167,0.4339622641509434,0.40773584905660376,1.064322073114299,0.33962264150943394,0.32163522012578616,1.0559249120062573,0.39622641509433965,0.3586163522012579,1.1048754822869167,0.4339622641509434,0.40773584905660376,1.064322073114299,0.32075471698113206,0.07163522012578616,4.477611940298508,0.37735849056603776,0.09515723270440252,3.9656311962987445,0.39622641509433965,0.14490566037735847,2.7343750000000004,0.43853820598006643,0.20999999999999996,1.6172506738544477,0.0033222591362126247,82.913949314867,61.68769276138387,111.32353915290219,0.0033222591362126247,2.0796460477139713,-1.4746760273418724,102.99658767421958,107.8986833462131,2023-09-13,2026-06-11
UZS,momentum_streak_4d__spike_only,spike_policy,spike_policy,spike_only,4,28,28,28,0.18064516129032257,0.18064516129032257,pure_spike_signals,28,0.18064516129032257,2.129721645125082,27.0,64.60000000000001,132.0,0.17857142857142858,no_lower_price_in_next_h_observations,0.31916666666666665,0.17857142857142858,0.4642857142857143,0.5594927265945543,0.5594927265945543,0.21428571428571427,0.3570238095238095,0.6002000666888962,0.2857142857142857,0.40845238095238096,0.699504517633343,0.17857142857142858,0.31916666666666665,0.5594927265945543,0.21428571428571427,0.3570238095238095,0.6002000666888962,0.2857142857142857,0.40845238095238096,0.699504517633343,0.17857142857142858,0.07428571428571427,2.403846153846154,0.21428571428571427,0.09892857142857141,2.1660649819494586,0.2857142857142857,0.1475,1.937046004842615,0.9800664451827242,0.1063095238095238,1.67973124300112,0.15614617940199335,76.92975958004219,51.90182776206466,100.50634571334534,0.0033222591362126247,-52.828509404421034,-1.5029408763412726,118.85401499591649,105.98876349742866,2023-10-25,2026-05-21
UZS,momentum_streak_5d__spike_only,spike_policy,spike_policy,spike_only,4,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.947456530637899,34.0,123.79999999999998,195.0,0.25,no_lower_price_in_next_h_observations,0.31583333333333335,0.125,0.5,0.7915567282321899,0.7915567282321899,0.3125,0.35291666666666666,0.885478158205431,0.3125,0.40375,0.7739938080495357,0.25,0.31583333333333335,0.7915567282321899,0.3125,0.35291666666666666,0.885478158205431,0.3125,0.40375,0.7739938080495357,0.25,0.07104166666666667,3.5190615835777126,0.3125,0.090625,3.4482758620689657,0.3125,0.13875,2.252252252252252,0.8006644518272426,0.120625,2.072538860103627,0.06976744186046512,73.24304386626471,43.7377476770775,102.01518417711648,0.0033222591362126247,-26.68126446512937,-3.7886437754517117,121.54439841657344,109.43157744614504,2023-10-26,2026-05-13
AMD,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,5,86,86,86,0.5548387096774193,0.5548387096774193,pure_spike_signals,85,0.5483870967741935,0.9188254076808565,10.0,24.0,46.0,0.22093023255813954,no_lower_price_in_next_h_observations,0.2806589147286822,0.20930232558139536,0.36046511627906974,0.7871840905952215,0.7871840905952215,0.23255813953488372,0.3165116279069768,0.7347538574577516,0.3023255813953488,0.3721317829457364,0.8124153733986044,0.22093023255813954,0.2806589147286822,0.7871840905952215,0.23255813953488372,0.3165116279069768,0.7347538574577516,0.3023255813953488,0.3721317829457364,0.8124153733986044,0.12790697674418605,0.058604651162790705,2.1825396825396823,0.12790697674418605,0.07147286821705426,1.7895878524945772,0.18604651162790697,0.10414728682170543,1.7863788611834759,0.9235880398671097,0.17945736434108525,1.2311015118790498,0.13953488372093023,17.963364097127858,6.722401830878755,30.101124422704697,0.013289036544850499,-37.60271409263628,-1.8851451413744886,150.295045059722,121.44268132989728,2023-09-12,2026-08-22
AMD,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,5,51,51,51,0.32903225806451614,0.32903225806451614,pure_spike_signals,50,0.3225806451612903,1.4691496231317012,17.0,37.60000000000001,68.0,0.2549019607843137,no_lower_price_in_next_h_observations,0.2831372549019608,0.19607843137254902,0.37254901960784315,0.9002770083102493,0.9002770083102493,0.27450980392156865,0.317516339869281,0.8645533141210376,0.3137254901960784,0.3750980392156863,0.836382645060115,0.2549019607843137,0.2831372549019608,0.9002770083102493,0.27450980392156865,0.317516339869281,0.8645533141210376,0.3137254901960784,0.3750980392156863,0.836382645060115,0.23529411764705882,0.05973856209150327,3.9387308533916845,0.23529411764705882,0.07444444444444442,3.160667251975418,0.27450980392156865,0.10647058823529411,2.5782688766114186,0.7574750830564784,0.17496732026143788,1.456854688083676,0.05647840531561462,64.55245483969033,36.33208058692551,94.09087887125075,0.0033222591362126247,-33.12638537858045,-0.8416852337072324,151.5408724007575,122.20832201840841,2023-09-13,2026-07-04
AMD,momentum_streak_4d__spike_only,spike_policy,spike_policy,spike_only,5,31,31,31,0.2,0.2,pure_spike_signals,31,0.2,2.0,24.0,70.70000000000002,124.0,0.1935483870967742,no_lower_price_in_next_h_observations,0.2806451612903226,0.16129032258064516,0.41935483870967744,0.6896551724137931,0.6896551724137931,0.22580645161290322,0.3104301075268817,0.7273986837547627,0.25806451612903225,0.36720430107526886,0.7027818448023425,0.1935483870967742,0.2806451612903226,0.6896551724137931,0.22580645161290322,0.3104301075268817,0.7273986837547627,0.25806451612903225,0.36720430107526886,0.7027818448023425,0.1935483870967742,0.06225806451612903,3.1088082901554404,0.22580645161290322,0.07655913978494623,2.949438202247191,0.25806451612903225,0.10849462365591397,2.3785926660059467,0.9003322259136213,0.1176344086021505,1.6453382084095067,0.10963455149501661,77.10008112289037,51.887275082406966,100.40616109160875,0.0033222591362126247,-41.71189408175642,-1.479489704816082,165.58989361605663,122.5947721595693,2023-10-04,2026-05-22
