currency,strategy_id,parameters,evaluated_horizons,min_hit_lift,median_hit_lift,min_benefit_bps,min_benefit_ci_low_95,signals_per_week,passes_hard_screen,passes_case_screen
KGS,level_L120_p70,"{""higher_share"": 0.7, ""lookback"": 120}",4,0.9645301804604857,1.041434994923367,21.715491997287486,6.336984339814334,0.5290322580645161,False,False
KGS,level_L250_p80,"{""higher_share"": 0.8, ""lookback"": 250}",4,0.9633911368015413,0.9978537839020122,11.703336019019812,-5.575929616212689,0.4258064516129032,False,False
KGS,level_L250_p70,"{""higher_share"": 0.7, ""lookback"": 250}",4,0.8655293527345709,0.8847715081609018,12.728627635995013,-5.296054295272492,0.4967741935483871,False,False
KGS,level_L120_p80,"{""higher_share"": 0.8, ""lookback"": 120}",4,0.8092797410304828,0.8644428847662832,11.851963871626646,2.431381057847953,0.45806451612903226,False,False
KGS,level_L20_p70,"{""higher_share"": 0.7, ""lookback"": 20}",4,0.7610350076103501,0.7981075637993329,15.178101295579404,-1.8959370437504122,0.5741935483870968,False,False
KGS,level_L20_p80,"{""higher_share"": 0.8, ""lookback"": 20}",4,0.7167106752168994,0.7286382068554614,25.817628606673203,6.677152107113262,0.49032258064516127,False,False
KGS,level_L60_p70,"{""higher_share"": 0.7, ""lookback"": 60}",4,0.711166562694947,0.7158284838398239,7.275390068670057,-4.7995624783014055,0.5483870967741935,False,False
KGS,level_L20_p90,"{""higher_share"": 0.9, ""lookback"": 20}",4,0.7070260715863896,0.741770905330106,34.09833141923916,14.5870554797042,0.41935483870967744,False,False
KGS,level_L20_p95,"{""higher_share"": 0.95, ""lookback"": 20}",4,0.6791940230925968,0.6852924796900305,30.878525089982542,16.16529223260202,0.32903225806451614,False,False
KGS,level_L60_p90,"{""higher_share"": 0.9, ""lookback"": 60}",4,0.6034009873834338,0.6599461457592994,14.335429441228811,-7.980764013449571,0.4,False,False
KGS,level_L60_p95,"{""higher_share"": 0.95, ""lookback"": 60}",4,0.5795981452859352,0.6230918718772819,38.18196744781428,14.959824489034672,0.3225806451612903,False,False
KGS,level_L120_p95,"{""higher_share"": 0.95, ""lookback"": 120}",4,0.5508919202518362,0.6429359709345821,20.510233153437085,-9.904255555036297,0.2838709677419355,False,False
KGS,level_L250_p90,"{""higher_share"": 0.9, ""lookback"": 250}",4,0.5398110661268557,0.5439599848551459,7.566742311110318,-15.290851901678028,0.33548387096774196,False,False
KGS,level_L60_p80,"{""higher_share"": 0.8, ""lookback"": 60}",4,0.4701457451810061,0.5988837942442395,13.094791221173093,-0.3211802129495635,0.47096774193548385,False,False
KGS,level_L250_p95,"{""higher_share"": 0.95, ""lookback"": 250}",4,0.4454342984409799,0.5911299517463384,21.328940700939146,0.43499994019827515,0.2967741935483871,False,False
KGS,level_L120_p90,"{""higher_share"": 0.9, ""lookback"": 120}",4,0.3913894324853229,0.5731545601885959,9.223369753894406,-4.7042770699979926,0.3419354838709677,False,False
KZT,level_L120_p70,"{""higher_share"": 0.7, ""lookback"": 120}",4,1.1888186783763521,1.2603938401283776,26.101357299686885,10.861093707666372,0.5096774193548387,False,False
KZT,level_L120_p90,"{""higher_share"": 0.9, ""lookback"": 120}",4,1.1470447666082524,1.1832556240450978,31.680645686167164,6.54262055914294,0.3419354838709677,False,False
KZT,level_L250_p80,"{""higher_share"": 0.8, ""lookback"": 250}",4,1.0760808004530868,1.1582889930285478,25.59206667184622,6.774254259245883,0.4258064516129032,False,False
KZT,level_L20_p70,"{""higher_share"": 0.7, ""lookback"": 20}",4,1.0458427749694963,1.1292117166822173,36.701860341078266,23.065597807712688,0.6193548387096774,False,False
KZT,level_L20_p95,"{""higher_share"": 0.95, ""lookback"": 20}",4,1.01568068424804,1.1703717257692001,65.33416320864437,39.11837289152047,0.3032258064516129,False,False
KZT,level_L60_p90,"{""higher_share"": 0.9, ""lookback"": 60}",4,1.0119940029985008,1.0869237119875836,40.97699393829812,23.191111254326167,0.4258064516129032,False,False
KZT,level_L120_p95,"{""higher_share"": 0.95, ""lookback"": 120}",4,0.997457461372971,1.0702648218007056,49.49582082648426,17.61230042363717,0.27741935483870966,False,False
KZT,level_L250_p90,"{""higher_share"": 0.9, ""lookback"": 250}",4,0.9542451676046,1.0091331350285602,7.094997701516582,-12.24263918924643,0.33548387096774196,False,False
KZT,level_L60_p95,"{""higher_share"": 0.95, ""lookback"": 60}",4,0.9362460989745874,0.946521791565926,38.277036215860804,17.663642701209643,0.33548387096774196,False,False
KZT,level_L20_p90,"{""higher_share"": 0.9, ""lookback"": 20}",4,0.9051138934982651,1.0096262740656852,50.976969613239504,32.39000109356574,0.432258064516129,False,False
KZT,level_L20_p80,"{""higher_share"": 0.8, ""lookback"": 20}",4,0.8901196716447434,0.9366878148421047,33.29574649440832,19.665283597238677,0.5483870967741935,False,False
KZT,level_L250_p70,"{""higher_share"": 0.7, ""lookback"": 250}",4,0.8879887832995794,0.9020615135703306,6.050646062483624,-13.827625121389762,0.5290322580645161,False,False
KZT,level_L60_p70,"{""higher_share"": 0.7, ""lookback"": 60}",4,0.8784773060029282,0.9046822735401555,8.848901143300369,-4.4959694671585675,0.535483870967742,False,False
KZT,level_L250_p95,"{""higher_share"": 0.95, ""lookback"": 250}",4,0.7611453425154043,0.8877541657491008,29.49677060974108,-0.3927150989714011,0.2967741935483871,False,False
KZT,level_L60_p80,"{""higher_share"": 0.8, ""lookback"": 60}",4,0.6322444678609062,0.6974544475693434,15.81702360667017,-1.0822855265780373,0.5161290322580645,False,False
TJS,level_L250_p80,"{""higher_share"": 0.8, ""lookback"": 250}",4,1.0892116182572613,1.1506632538351118,14.367270888768354,-6.8680993643199155,0.24516129032258063,False,False
