strategy_id,train_count,train_signals_per_week,train_hit_rate,train_random_hit_rate,train_hit_lift,train_benefit_bps,frequency_gate,sample_gate,benefit_gate,lift_gate,frequency_distance,currency,signal_family,scenario,selection_horizon,fold_start,fold_end
corridor_exit_up_L5_r100_b50bp,39,0.1517509727626459,0.5641025641025641,0.5194805194805194,1.085897435897436,-37.064014264339725,False,True,False,False,0.8482490272373541,KGS,corridor_exit_up,window_closing,4,2019-01-01,2020-01-01
level_L120_p80,117,0.37987012987012986,0.38461538461538464,0.2774018944519621,1.3864915572232646,46.65120969878927,False,True,True,True,0.6201298701298701,KGS,level,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_down_L5_r100_b0bp,70,0.22727272727272727,0.35714285714285715,0.2774018944519621,1.2874564459930313,27.838568411035464,False,True,True,True,0.7727272727272727,KGS,corridor_exit_down,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_up_L5_r100_b50bp,44,0.14285714285714285,0.5454545454545454,0.5040595399188093,1.082123245881635,-38.5798613338931,False,True,False,False,0.8571428571428572,KGS,corridor_exit_up,window_closing,4,2020-01-01,2021-01-01
level_L60_p95,76,0.2116991643454039,0.3684210526315789,0.27832655432887854,1.323700692231623,74.0933947849372,False,True,True,True,0.7883008356545961,KGS,level,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_down_L5_r100_b0bp,78,0.21727019498607242,0.358974358974359,0.27832655432887854,1.2897596488410685,36.28628170673466,False,True,True,True,0.7827298050139275,KGS,corridor_exit_down,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_up_L5_r100_b50bp,49,0.13649025069637882,0.5510204081632653,0.5090063916327716,1.0825412356723512,-37.2414471097469,False,True,False,False,0.8635097493036212,KGS,corridor_exit_up,window_closing,4,2021-01-01,2022-01-01
level_L120_p80,165,0.4024390243902439,0.37575757575757573,0.27831386490604365,1.3501216545012167,45.19010118912414,False,True,True,True,0.5975609756097561,KGS,level,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_down_L5_r100_b0bp,97,0.23658536585365852,0.35051546391752575,0.27831386490604365,1.2594250884189933,35.29584523582985,False,True,True,True,0.7634146341463415,KGS,corridor_exit_down,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_up_L5_r100_b50bp,56,0.13658536585365855,0.5535714285714286,0.5022854240731336,1.102105301170013,-35.62504357498735,False,True,False,False,0.8634146341463415,KGS,corridor_exit_up,window_closing,4,2022-01-01,2023-01-01
level_L250_p95,84,0.18181818181818182,0.36904761904761907,0.2824909747292419,1.3064049901110604,72.95421890845859,False,True,True,True,0.8181818181818181,KGS,level,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_down_L5_r100_b0bp,101,0.21861471861471862,0.3465346534653465,0.2824909747292419,1.2267105304779677,39.15820023537351,False,True,True,True,0.7813852813852814,KGS,corridor_exit_down,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_up_L5_r50_b0bp,31,0.0670995670995671,0.5806451612903226,0.5009025270758123,1.1591979075850045,-26.502689185012645,False,True,False,False,0.9329004329004329,KGS,corridor_exit_up,window_closing,4,2023-01-01,2024-01-01
level_L250_p95,84,0.16374269005847952,0.36904761904761907,0.29598051157125455,1.2468645894571821,72.95421890845859,False,True,True,True,0.8362573099415205,KGS,level,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_down_L5_r100_b0bp,113,0.2202729044834308,0.37168141592920356,0.29598051157125455,1.2557631377690377,38.555268686413186,False,True,True,True,0.7797270955165692,KGS,corridor_exit_down,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_up_L20_r400_b50bp,36,0.07017543859649122,0.6388888888888888,0.5091352009744214,1.2548511430090377,-50.90854442818702,False,True,False,True,0.9298245614035088,KGS,corridor_exit_up,window_closing,4,2024-01-01,2025-01-01
level_L120_p95,99,0.17553191489361702,0.3838383838383838,0.3039468830689782,1.2628469157595372,79.26541372177982,False,True,True,True,0.824468085106383,KGS,level,favourable_now,4,2025-01-01,2026-01-01
corridor_exit_down_L5_r100_b0bp,125,0.22163120567375885,0.352,0.3039468830689782,1.1580970873786407,35.61346558509795,False,True,True,False,0.7783687943262412,KGS,corridor_exit_down,favourable_now,4,2025-01-01,2026-01-01
corridor_exit_up_L5_r50_b0bp,41,0.0726950354609929,0.6341463414634146,0.5145702692733308,1.2323804528367865,-19.133263208917683,False,True,False,True,0.9273049645390071,KGS,corridor_exit_up,window_closing,4,2025-01-01,2026-01-01
level_L250_p95,113,0.183739837398374,0.336283185840708,0.29817444219066935,1.1278068749623744,64.49570905482867,False,True,True,False,0.816260162601626,KGS,level,favourable_now,4,2026-01-01,2026-09-03
corridor_exit_down_L5_r100_b0bp,138,0.22439024390243903,0.34057971014492755,0.29817444219066935,1.1422163068125801,33.05299557790601,False,True,True,False,0.775609756097561,KGS,corridor_exit_down,favourable_now,4,2026-01-01,2026-09-03
corridor_exit_up_L20_r400_b50bp,44,0.07154471544715447,0.6363636363636364,0.5077755240027045,1.2532381067667353,-47.459284044209305,False,True,False,True,0.9284552845528455,KGS,corridor_exit_up,window_closing,4,2026-01-01,2026-09-03
level_L60_p95,69,0.33495145631067963,0.36231884057971014,0.2883248730964467,1.2566340069401918,104.72226239950245,False,True,True,True,0.6650485436893203,KZT,level,favourable_now,4,2018-01-01,2019-01-01
corridor_exit_down_L10_r400_b25bp,40,0.1941747572815534,0.35,0.2883248730964467,1.2139084507042253,70.63788417344774,False,True,True,True,0.8058252427184466,KZT,corridor_exit_down,favourable_now,4,2018-01-01,2019-01-01
corridor_exit_up_L10_r400_b50bp,33,0.16019417475728157,0.5757575757575758,0.4954314720812183,1.1621336313959265,-51.282625651581284,False,True,False,False,0.8398058252427184,KZT,corridor_exit_up,window_closing,4,2018-01-01,2019-01-01
level_L60_p95,80,0.311284046692607,0.3625,0.288961038961039,1.2544943820224719,96.32720454553173,False,True,True,True,0.688715953307393,KZT,level,favourable_now,4,2019-01-01,2020-01-01
corridor_exit_down_L10_r200_b25bp,35,0.13618677042801555,0.37142857142857144,0.288961038961039,1.2853932584269663,43.731691029800174,False,True,True,True,0.8638132295719845,KZT,corridor_exit_down,favourable_now,4,2019-01-01,2020-01-01
corridor_exit_up_L10_r400_b50bp,44,0.17120622568093385,0.5227272727272727,0.49107142857142855,1.0644628099173554,-50.930201451560244,False,True,False,False,0.8287937743190661,KZT,corridor_exit_up,window_closing,4,2019-01-01,2020-01-01
level_L60_p95,100,0.3246753246753247,0.36,0.2821380243572395,1.2759712230215827,80.91938519415747,False,True,True,True,0.6753246753246753,KZT,level,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_down_L20_r400_b25bp,38,0.12337662337662338,0.3157894736842105,0.2821380243572395,1.119273002650511,46.859361138203674,False,True,True,False,0.8766233766233766,KZT,corridor_exit_down,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_up_L10_r400_b50bp,48,0.15584415584415584,0.5416666666666666,0.4783491204330176,1.1323668081093823,-49.448415509739334,False,True,False,False,0.8441558441558441,KZT,corridor_exit_up,window_closing,4,2020-01-01,2021-01-01
level_L60_p95,107,0.298050139275766,0.37383177570093457,0.2812318419523533,1.3292654669035298,78.9205014506766,False,True,True,True,0.701949860724234,KZT,level,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_down_L10_r400_b50bp,53,0.14763231197771587,0.32075471698113206,0.2812318419523533,1.140534851083736,74.13503315624357,False,True,True,False,0.8523676880222841,KZT,corridor_exit_down,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_up_L5_r50_b0bp,32,0.08913649025069638,0.53125,0.4863451481696688,1.0923312425328555,-18.875319288965443,False,True,False,False,0.9108635097493036,KZT,corridor_exit_up,window_closing,4,2021-01-01,2022-01-01
level_L60_p95,125,0.3048780487804878,0.368,0.27526663280853225,1.3368856088560885,71.06954557523466,False,True,True,True,0.6951219512195121,KZT,level,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_down_L20_r400_b0bp,78,0.1902439024390244,0.2948717948717949,0.27526663280853225,1.0712224429936608,38.741734929130594,False,True,True,False,0.8097560975609757,KZT,corridor_exit_down,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_up_L5_r200_b50bp,100,0.24390243902439024,0.5,0.47892331132554594,1.0440084835630965,-44.60984468086823,False,True,False,False,0.7560975609756098,KZT,corridor_exit_up,window_closing,4,2022-01-01,2023-01-01
level_L60_p95,138,0.2987012987012987,0.34782608695652173,0.27617328519855594,1.2594487070190394,78.20035751141842,False,True,True,True,0.7012987012987013,KZT,level,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_down_L10_r400_b50bp,64,0.13852813852813853,0.296875,0.27617328519855594,1.0749591503267975,77.27238264473283,False,True,True,False,0.8614718614718615,KZT,corridor_exit_down,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_up_L20_r400_b50bp,31,0.0670995670995671,0.5161290322580645,0.4760830324909747,1.0841155786576975,-49.094711584372746,False,True,False,False,0.9329004329004329,KZT,corridor_exit_up,window_closing,4,2023-01-01,2024-01-01
level_L60_p95,144,0.2807017543859649,0.3541666666666667,0.2874543239951279,1.2320798022598871,77.85142837455906,False,True,True,True,0.7192982456140351,KZT,level,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_down_L20_r400_b0bp,80,0.15594541910331383,0.2875,0.2874543239951279,1.0001588983050846,37.96949690462118,False,True,True,False,0.8440545808966862,KZT,corridor_exit_down,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_up_L10_r200_b50bp,47,0.09161793372319688,0.5531914893617021,0.49045879009338206,1.1279061575313514,-43.94104733832967,False,True,False,False,0.9083820662768032,KZT,corridor_exit_up,window_closing,4,2024-01-01,2025-01-01
level_L60_p95,157,0.2783687943262411,0.3503184713375796,0.2880855772777573,1.2160222481385126,77.08624884519858,False,True,True,True,0.7216312056737588,KZT,level,favourable_now,4,2025-01-01,2026-01-01
corridor_exit_down_L10_r400_b25bp,119,0.21099290780141844,0.29411764705882354,0.2880855772777573,1.020938465014687,64.68763946113343,False,True,True,False,0.7890070921985816,KZT,corridor_exit_down,favourable_now,4,2025-01-01,2026-01-01
corridor_exit_up_L10_r200_b50bp,51,0.09042553191489362,0.5882352941176471,0.4935448174105496,1.1918579090829158,-44.4532842375016,False,True,False,False,0.9095744680851063,KZT,corridor_exit_up,window_closing,4,2025-01-01,2026-01-01
level_L60_p95,184,0.2991869918699187,0.32608695652173914,0.281947261663286,1.1565530184548014,73.42434371279724,False,True,True,False,0.7008130081300813,KZT,level,favourable_now,4,2026-01-01,2026-09-03
corridor_exit_down_L10_r400_b25bp,131,0.21300813008130082,0.2900763358778626,0.281947261663286,1.0288318963150092,63.59155581710932,False,True,True,False,0.7869918699186992,KZT,corridor_exit_down,favourable_now,4,2026-01-01,2026-09-03
corridor_exit_up_L20_r400_b50bp,37,0.06016260162601626,0.5675675675675675,0.48782961460446245,1.1634545148058661,-49.66247752970052,False,True,False,False,0.9398373983739837,KZT,corridor_exit_up,window_closing,4,2026-01-01,2026-09-03
level_L20_p95,84,0.4077669902912621,0.30952380952380953,0.265989847715736,1.1636677571792076,90.61736210584398,False,True,True,False,0.5922330097087378,TJS,level,favourable_now,4,2018-01-01,2019-01-01
corridor_exit_down_L5_r400_b25bp,81,0.3932038834951456,0.24691358024691357,0.265989847715736,0.928281971538969,92.00596460610338,False,True,True,False,0.6067961165048543,TJS,corridor_exit_down,favourable_now,4,2018-01-01,2019-01-01
corridor_exit_up_L5_r100_b25bp,32,0.1553398058252427,0.75,0.4954314720812183,1.5138319672131146,-28.278359527604547,False,True,False,True,0.8446601941747574,TJS,corridor_exit_up,window_closing,4,2018-01-01,2019-01-01
level_L20_p95,98,0.38132295719844356,0.3163265306122449,0.27435064935064934,1.1530008453085376,85.20256088630123,False,True,True,False,0.6186770428015564,TJS,level,favourable_now,4,2019-01-01,2020-01-01
corridor_exit_down_L5_r400_b25bp,102,0.3968871595330739,0.28431372549019607,0.27435064935064934,1.0363151177630816,87.07219199750287,False,True,True,False,0.6031128404669261,TJS,corridor_exit_down,favourable_now,4,2019-01-01,2020-01-01
corridor_exit_up_L5_r100_b25bp,43,0.16731517509727625,0.7209302325581395,0.49837662337662336,1.446557079009166,-23.700969833792772,False,True,False,True,0.8326848249027238,TJS,corridor_exit_up,window_closing,4,2019-01-01,2020-01-01
level_L60_p90,122,0.3961038961038961,0.28688524590163933,0.2679296346414073,1.070748468289452,44.26205188331885,False,True,True,False,0.6038961038961039,TJS,level,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_down_L20_r400_b0bp,33,0.10714285714285714,0.30303030303030304,0.2679296346414073,1.1310070400979493,39.818210121526725,False,True,True,False,0.8928571428571429,TJS,corridor_exit_down,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_up_L5_r100_b25bp,53,0.17207792207792208,0.6981132075471698,0.4844384303112314,1.4410772636239062,-25.73643170159795,False,True,False,True,0.827922077922078,TJS,corridor_exit_up,window_closing,4,2020-01-01,2021-01-01
level_L250_p90,103,0.28690807799442897,0.2815533980582524,0.273678094131319,1.0287757920557377,31.305403333274704,False,True,True,False,0.713091922005571,TJS,level,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_down_L20_r400_b0bp,35,0.09749303621169916,0.2857142857142857,0.273678094131319,1.0439793751895663,39.620319604361725,False,True,True,False,0.9025069637883009,TJS,corridor_exit_down,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_up_L5_r100_b25bp,62,0.17270194986072424,0.6774193548387096,0.49099360836722833,1.3796907806833365,-25.48905582407864,False,True,False,True,0.8272980501392757,TJS,corridor_exit_up,window_closing,4,2021-01-01,2022-01-01
level_L60_p95,125,0.3048780487804878,0.296,0.2701879126460132,1.095533834586466,62.948982747895826,False,True,True,False,0.6951219512195121,TJS,level,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_down_L10_r400_b50bp,70,0.17073170731707318,0.2714285714285714,0.2701879126460132,1.0045918367346938,71.91876039372073,False,True,True,False,0.8292682926829268,TJS,corridor_exit_down,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_up_L5_r100_b50bp,56,0.13658536585365855,0.6607142857142857,0.4850177755205688,1.362247569184742,-27.967267393168715,False,True,False,True,0.8634146341463415,TJS,corridor_exit_up,window_closing,4,2022-01-01,2023-01-01
level_L60_p95,136,0.2943722943722944,0.3014705882352941,0.2788808664259928,1.0810013325718635,73.83308540350382,False,True,True,False,0.7056277056277056,TJS,level,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_down_L10_r400_b50bp,75,0.16233766233766234,0.29333333333333333,0.2788808664259928,1.0518230852211434,79.63150649780454,False,True,True,False,0.8376623376623377,TJS,corridor_exit_down,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_up_L5_r100_b25bp,84,0.18181818181818182,0.6190476190476191,0.486913357400722,1.2713711990820427,-27.870280534382996,False,True,False,True,0.8181818181818181,TJS,corridor_exit_up,window_closing,4,2023-01-01,2024-01-01
level_L60_p95,142,0.27680311890838205,0.2887323943661972,0.2919204222492895,0.9890791200611178,71.64217583783147,False,True,True,False,0.723196881091618,TJS,level,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_down_L10_r400_b50bp,80,0.15594541910331383,0.3,0.2919204222492895,1.0276773296244783,79.37289127042932,False,True,True,False,0.8440545808966862,TJS,corridor_exit_down,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_up_L5_r100_b25bp,98,0.19103313840155944,0.6428571428571429,0.49573690621193667,1.2967707967707969,-22.779711937696693,False,True,False,True,0.8089668615984406,TJS,corridor_exit_up,window_closing,4,2024-01-01,2025-01-01
level_L60_p95,151,0.26773049645390073,0.2980132450331126,0.2987827369974179,0.9974245768947757,73.87483274696109,False,True,True,False,0.7322695035460993,TJS,level,favourable_now,4,2025-01-01,2026-01-01
corridor_exit_down_L10_r400_b50bp,88,0.15602836879432624,0.29545454545454547,0.2987827369974179,0.9888608305274973,78.38122167988136,False,True,True,False,0.8439716312056738,TJS,corridor_exit_down,favourable_now,4,2025-01-01,2026-01-01
corridor_exit_up_L5_r100_b25bp,109,0.19326241134751773,0.6605504587155964,0.5012910365178901,1.3176985236041072,-21.339489650159287,False,True,False,True,0.8067375886524822,TJS,corridor_exit_up,window_closing,4,2025-01-01,2026-01-01
level_L60_p95,167,0.27154471544715447,0.2934131736526946,0.29986477349560514,0.9784849691822667,71.00934392507169,False,True,True,False,0.7284552845528456,TJS,level,favourable_now,4,2026-01-01,2026-09-03
corridor_exit_down_L10_r400_b50bp,99,0.16097560975609757,0.30303030303030304,0.29986477349560514,1.0105565235215743,80.48499159562368,False,True,True,False,0.8390243902439024,TJS,corridor_exit_down,favourable_now,4,2026-01-01,2026-09-03
corridor_exit_up_L5_r100_b25bp,116,0.1886178861788618,0.6637931034482759,0.5023664638269101,1.3213324360699865,-20.60892698495799,False,True,False,True,0.8113821138211382,TJS,corridor_exit_up,window_closing,4,2026-01-01,2026-09-03
level_L20_p95,88,0.42718446601941745,0.25,0.2568527918781726,0.9733201581027667,77.15696247107873,False,True,True,False,0.5728155339805825,UZS,level,favourable_now,4,2018-01-01,2019-01-01
corridor_exit_down_L5_r200_b25bp,66,0.32038834951456313,0.2878787878787879,0.2568527918781726,1.1207929093304587,40.23402619120264,False,True,True,False,0.6796116504854368,UZS,corridor_exit_down,favourable_now,4,2018-01-01,2019-01-01
corridor_exit_up_L5_r100_b0bp,33,0.16019417475728157,0.6060606060606061,0.4720812182741117,1.2838057999348322,-26.689593763251636,False,True,False,True,0.8398058252427184,UZS,corridor_exit_up,window_closing,4,2018-01-01,2019-01-01
level_L120_p70,144,0.5603112840466926,0.2569444444444444,0.2694805194805195,0.9534805890227576,41.920728350567735,False,True,True,False,0.4396887159533074,UZS,level,favourable_now,4,2019-01-01,2020-01-01
corridor_exit_down_L5_r200_b25bp,82,0.31906614785992216,0.32926829268292684,0.2694805194805195,1.221863062004114,45.113005109393626,False,True,True,True,0.6809338521400778,UZS,corridor_exit_down,favourable_now,4,2019-01-01,2020-01-01
corridor_exit_up_L5_r100_b0bp,48,0.1867704280155642,0.6041666666666666,0.48863636363636365,1.2364341085271318,-25.992978918552733,False,True,False,True,0.8132295719844358,UZS,corridor_exit_up,window_closing,4,2019-01-01,2020-01-01
level_L120_p70,204,0.6623376623376623,0.24509803921568626,0.2591339648173207,0.9458352531613167,29.785760034783042,False,True,True,False,0.33766233766233766,UZS,level,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_down_L5_r200_b25bp,104,0.33766233766233766,0.28846153846153844,0.2591339648173207,1.1131753364129342,40.68986661798734,False,True,True,False,0.6623376623376623,UZS,corridor_exit_down,favourable_now,4,2020-01-01,2021-01-01
corridor_exit_up_L5_r100_b0bp,66,0.21428571428571427,0.5454545454545454,0.4668470906630582,1.1683794466403161,-26.604602405737907,False,True,False,False,0.7857142857142857,UZS,corridor_exit_up,window_closing,4,2020-01-01,2021-01-01
level_L120_p70,215,0.5988857938718662,0.25116279069767444,0.26380011621150495,0.9520950722262064,29.167299070090657,False,True,True,False,0.40111420612813375,UZS,level,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_down_L5_r200_b25bp,120,0.3342618384401114,0.3,0.26380011621150495,1.1372246696035242,43.40847354256587,False,True,True,False,0.6657381615598885,UZS,corridor_exit_down,favourable_now,4,2021-01-01,2022-01-01
corridor_exit_up_L5_r100_b0bp,74,0.20612813370473537,0.5540540540540541,0.47123765252760025,1.1757423267904155,-24.587440191405772,False,True,False,False,0.7938718662952646,UZS,corridor_exit_up,window_closing,4,2021-01-01,2022-01-01
level_L120_p70,258,0.6292682926829268,0.2596899224806202,0.26358557643473846,0.9852205344206958,26.600494389228448,False,True,True,False,0.37073170731707317,UZS,level,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_down_L5_r200_b25bp,141,0.3439024390243902,0.2978723404255319,0.26358557643473846,1.1300783011519697,45.30427963164801,False,True,True,False,0.6560975609756098,UZS,corridor_exit_down,favourable_now,4,2022-01-01,2023-01-01
corridor_exit_up_L5_r100_b0bp,89,0.21707317073170732,0.550561797752809,0.46673438293550024,1.1796041129219597,-24.554084370670854,False,True,False,False,0.7829268292682927,UZS,corridor_exit_up,window_closing,4,2022-01-01,2023-01-01
level_L120_p70,284,0.6147186147186147,0.2605633802816901,0.2685018050541516,0.9704343709314712,30.690089940634344,False,True,True,False,0.38528138528138534,UZS,level,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_down_L5_r200_b25bp,151,0.3268398268398268,0.2913907284768212,0.2685018050541516,1.085246813957371,48.57294152502989,False,True,True,False,0.6731601731601732,UZS,corridor_exit_down,favourable_now,4,2023-01-01,2024-01-01
corridor_exit_up_L5_r100_b0bp,99,0.21428571428571427,0.5454545454545454,0.46705776173285196,1.1678524374176549,-26.766767803782077,False,True,False,False,0.7857142857142857,UZS,corridor_exit_up,window_closing,4,2023-01-01,2024-01-01
level_L120_p70,295,0.5750487329434698,0.26101694915254237,0.2829882257409663,0.9223597500182379,29.80921063199302,False,True,True,False,0.4249512670565302,UZS,level,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_down_L5_r200_b25bp,161,0.3138401559454191,0.2919254658385093,0.2829882257409663,1.0315816676617624,47.973174082233854,False,True,True,False,0.6861598440545809,UZS,corridor_exit_down,favourable_now,4,2024-01-01,2025-01-01
corridor_exit_up_L5_r100_b0bp,119,0.23196881091617932,0.5798319327731093,0.48030856678846934,1.2072071432123146,-22.210831620887415,False,True,False,True,0.7680311890838207,UZS,corridor_exit_up,window_closing,4,2024-01-01,2025-01-01
level_L120_p90,218,0.38652482269503546,0.26605504587155965,0.2888233124308373,0.9211688752973157,31.533885882394774,False,True,True,False,0.6134751773049645,UZS,level,favourable_now,4,2025-01-01,2026-01-01
