recent_years,requested_period_start,data_as_of,currency,strategy_id,signal_family,scenario,parameters,horizon,target_definition,signal_count,evaluated_signal_count,signals_per_week,hit_rate,random_hit_rate_mean,hit_lift,hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,median_gap_days,max_gap_days,first_signal,last_signal
3,2023-09-02,2026-09-02,AMD,walk_forward__corridor_exit_up__h3,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}",3,rub_per_unit_at_T_plus_h_is_higher_than_at_T,31,31,0.2,0.5806451612903226,0.49784946236559147,1.1663066954643628,0.21926910299003322,-7.336286887475217,-22.166298217781648,7.737899366996002,0.7973421926910299,53.09680041055182,-1.0203409914871364,19.5,164.0,2023-09-05,2026-07-30
3,2023-09-02,2026-09-02,KGS,walk_forward__corridor_exit_up__h3,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}",3,rub_per_unit_at_T_plus_h_is_higher_than_at_T,12,12,0.07741935483870968,0.9166666666666666,0.5080555555555555,1.8042646254784036,0.006644518272425249,-24.510593839229262,-53.549392605570674,-3.7303755856367196,0.946843853820598,132.39505931579336,-1.1045783271669378,65.0,245.0,2023-10-04,2026-07-30
3,2023-09-02,2026-09-02,KZT,walk_forward__corridor_exit_up__h3,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 400.0}",3,rub_per_unit_at_T_plus_h_is_higher_than_at_T,13,13,0.08387096774193549,0.6153846153846154,0.5048717948717948,1.218892839004571,0.2857142857142857,-67.19680257420065,-113.35638802828254,-19.50389549054203,0.9966777408637874,39.379246130019766,0.811784896094504,49.0,233.0,2024-01-26,2026-08-04
3,2023-09-02,2026-09-02,TJS,walk_forward__corridor_exit_up__h3,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}",3,rub_per_unit_at_T_plus_h_is_higher_than_at_T,21,21,0.13548387096774195,0.7619047619047619,0.513015873015873,1.485148514851485,0.023255813953488372,-7.013621433569207,-25.13073272578163,12.78925147284806,0.7674418604651163,97.62804595614818,2.3679743660634838,28.0,200.0,2023-10-03,2026-07-29
3,2023-09-02,2026-09-02,UZS,walk_forward__corridor_exit_up__h3,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 200.0}",3,rub_per_unit_at_T_plus_h_is_higher_than_at_T,18,18,0.11612903225806452,0.6666666666666666,0.5009259259259259,1.3308687615526802,0.1362126245847176,-22.535019492587246,-59.2309975282346,12.221507110713453,0.8837209302325582,62.953157448770966,-3.1238187177671093,13.0,247.0,2023-10-03,2026-07-30
3,2023-09-02,2026-09-02,AMD,walk_forward__level__h3,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 20}",3,no_lower_price_in_next_h_observations,41,41,0.2645161290322581,0.3170731707317073,0.3511382113821138,0.9029868025005788,0.7441860465116279,42.11187400188746,12.452963021516926,97.65802642432678,0.06312292358803986,46.06086520270875,-0.8594263197289479,6.0,204.0,2024-06-20,2026-06-10
3,2023-09-02,2026-09-02,KGS,walk_forward__level__h3,level,favourable_now,"{""higher_share"": 0.8, ""lookback"": 120}",3,no_lower_price_in_next_h_observations,55,55,0.3548387096774194,0.23636363636363636,0.34733333333333327,0.6805095096841739,0.9667774086378738,27.03316816674147,-0.012710346962478483,58.59808478246757,0.05647840531561462,11.744936385252608,-3.6056739698346214,6.0,192.0,2024-01-12,2026-06-23
3,2023-09-02,2026-09-02,KZT,walk_forward__level__h3,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 60}",3,no_lower_price_in_next_h_observations,52,52,0.33548387096774196,0.3076923076923077,0.32423076923076927,0.9489916963226571,0.6411960132890365,49.80048773635766,23.19189092276138,74.554883948128,0.0033222591362126247,-0.527957522577415,-2.680571042006591,6.0,182.0,2023-09-29,2026-06-17
3,2023-09-02,2026-09-02,TJS,walk_forward__level__h3,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 20}",3,no_lower_price_in_next_h_observations,44,44,0.2838709677419355,0.25,0.3751515151515152,0.6663974151857834,0.9867109634551495,42.620369156529094,20.98900006939535,72.88474276234697,0.006644518272425249,-18.974943475421764,4.664985377758922,6.0,220.0,2023-10-25,2026-05-28
3,2023-09-02,2026-09-02,UZS,walk_forward__level__h3,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 20}",3,no_lower_price_in_next_h_observations,52,52,0.33548387096774196,0.3076923076923077,0.3534615384615385,0.8705114254624592,0.8305647840531561,13.849702322509218,-1.7006975832313809,34.14397521212426,0.06312292358803986,-9.609264276601753,-2.4937651145776076,6.0,197.0,2024-05-25,2026-06-18
3,2023-09-02,2026-09-02,AMD,walk_forward__corridor_exit_down__h4,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",4,no_lower_price_in_next_h_observations,15,15,0.0967741935483871,0.3333333333333333,0.31711111111111107,1.051156271899089,0.5813953488372093,36.13749415956395,6.625452736978384,62.5709328937166,0.009966777408637873,-33.45980498721353,-0.9864725526476411,48.0,297.0,2023-10-03,2026-05-19
3,2023-09-02,2026-09-02,KGS,walk_forward__corridor_exit_down__h4,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",4,no_lower_price_in_next_h_observations,34,34,0.21935483870967742,0.20588235294117646,0.3179411764705882,0.6475485661424607,0.9634551495016611,12.99869371021595,-4.244291487674597,27.525054767972733,0.03322259136212625,-76.83071564544181,-1.9606324575811407,25.0,80.0,2023-09-22,2026-07-25
3,2023-09-02,2026-09-02,KZT,walk_forward__corridor_exit_down__h4,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",4,no_lower_price_in_next_h_observations,25,25,0.16129032258064516,0.32,0.29146666666666665,1.0978956999085088,0.4684385382059801,67.1560799100853,42.88564872256967,91.14781042227217,0.0033222591362126247,-10.608040382863269,-0.26442762152598487,28.0,169.0,2023-09-13,2026-05-30
3,2023-09-02,2026-09-02,TJS,walk_forward__corridor_exit_down__h4,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",4,no_lower_price_in_next_h_observations,27,27,0.17419354838709677,0.2962962962962963,0.33666666666666667,0.88008800880088,0.7441860465116279,77.76752084002695,39.52546346558807,117.07941749082067,0.0033222591362126247,20.837229033698023,7.7039507742401865,31.0,140.0,2023-09-13,2026-05-19
3,2023-09-02,2026-09-02,UZS,walk_forward__corridor_exit_down__h4,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",4,no_lower_price_in_next_h_observations,48,48,0.3096774193548387,0.25,0.31854166666666667,0.7848266841072596,0.8803986710963455,45.58240947157989,24.853482565212722,70.38689723536064,0.0033222591362126247,-31.17557317908475,-3.054483047070054,18.0,63.0,2023-09-12,2026-08-22
3,2023-09-02,2026-09-02,AMD,walk_forward__corridor_exit_up__h4,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}",4,rub_per_unit_at_T_plus_h_is_higher_than_at_T,29,29,0.1870967741935484,0.5862068965517241,0.5102298850574714,1.1489074115791842,0.28903654485049834,-5.259518912851067,-25.85776326927851,14.729219617651776,0.6644518272425249,56.36596287188309,-1.735488384076929,19.0,130.0,2023-09-05,2025-09-23
3,2023-09-02,2026-09-02,KGS,walk_forward__corridor_exit_up__h4,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}",4,rub_per_unit_at_T_plus_h_is_higher_than_at_T,15,15,0.0967741935483871,0.6666666666666666,0.5111111111111111,1.3043478260869565,0.15946843853820597,-10.424389412126459,-45.38320852186939,10.071910314034843,0.7375415282392026,157.98187952865584,-8.585910850269372,47.5,222.0,2023-09-29,2026-07-30
3,2023-09-02,2026-09-02,KZT,walk_forward__corridor_exit_up__h4,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 400.0}",4,rub_per_unit_at_T_plus_h_is_higher_than_at_T,13,13,0.08387096774193549,0.6153846153846154,0.5030769230769231,1.2232415902140674,0.2757475083056478,-70.10504292011743,-118.16666513599245,-29.487036539954115,0.9966777408637874,38.29923512624559,-3.1717072410726312,49.0,233.0,2024-01-26,2026-08-04
