strategy_id,signal_family,scenario,parameters,currency,signal_count,evaluation_status,exclusion_reason
corridor_exit_down_L5_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",KGS,40,evaluated,
corridor_exit_down_L5_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",KGS,72,evaluated,
corridor_exit_down_L5_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",KGS,63,evaluated,
corridor_exit_down_L5_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",KGS,52,evaluated,
corridor_exit_down_L5_r50_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}",KGS,14,evaluated,
corridor_exit_down_L5_r50_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}",KGS,11,evaluated,
corridor_exit_down_L5_r50_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}",KGS,8,evaluated,
corridor_exit_down_L10_r100_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 100.0}",KZT,1,evaluated,
corridor_exit_down_L10_r100_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 100.0}",KZT,1,evaluated,
corridor_exit_down_L10_r100_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 100.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L10_r200_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 200.0}",KZT,17,evaluated,
corridor_exit_down_L10_r200_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 200.0}",KZT,12,evaluated,
corridor_exit_down_L10_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 200.0}",KZT,9,evaluated,
corridor_exit_down_L10_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",KZT,42,evaluated,
corridor_exit_down_L10_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",KZT,35,evaluated,
corridor_exit_down_L10_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",KZT,27,evaluated,
corridor_exit_down_L10_r50_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 50.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L10_r50_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 50.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L10_r50_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 50.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r100_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 100.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r100_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 100.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r100_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 100.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r200_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 200.0}",KZT,1,evaluated,
corridor_exit_down_L20_r200_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 200.0}",KZT,1,evaluated,
corridor_exit_down_L20_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 200.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}",KZT,14,evaluated,
corridor_exit_down_L20_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}",KZT,13,evaluated,
corridor_exit_down_L20_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}",KZT,12,evaluated,
corridor_exit_down_L20_r50_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 50.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r50_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 50.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L20_r50_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 50.0}",KZT,0,excluded_zero_signals,no signals in this corridor
corridor_exit_down_L5_r100_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}",KZT,34,evaluated,
corridor_exit_down_L5_r100_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}",KZT,29,evaluated,
corridor_exit_down_L5_r100_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}",KZT,23,evaluated,
