strategy_id,train_total_push_count,train_evaluated_signal_count,train_signals_per_week,train_hit_rate,train_random_hit_rate,train_hit_lift,train_benefit_bps,frequency_distance,sample_gate,frequency_gate,lift_gate,benefit_gate,gates_met,currency,policy,signal_family,selection_horizon,fold_start,fold_end,meets_all_train_gates
momentum_streak_5d__spike_only,49,49,0.08687943262411348,0.32653061224489793,0.34365781710914456,0.9501620390645528,94.45674680620978,0.9131205673758865,True,False,False,True,2,KGS,spike_only,spike,3,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,55,55,0.08943089430894309,0.32727272727272727,0.33693815478202094,0.9713139418254765,90.60819731184986,0.9105691056910569,True,False,False,True,2,KGS,spike_only,spike,3,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,66,66,0.32038834951456313,0.3181818181818182,0.3225152129817444,0.9865637507146942,71.08026936117703,0.6796116504854368,True,False,False,True,2,KZT,spike_only,spike,3,2018-01-01,2019-01-01,False
momentum_streak_2d__spike_only,152,152,0.5914396887159533,0.3223684210526316,0.3236009732360097,0.996191135734072,53.8600532980387,0.4085603112840467,True,False,False,True,2,KZT,spike_only,spike,3,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,100,100,0.3246753246753247,0.3,0.31507775524002707,0.952145922746781,53.73947068445042,0.6753246753246753,True,False,False,True,2,KZT,spike_only,spike,3,2020-01-01,2021-01-01,False
momentum_streak_2d__spike_only,217,217,0.6044568245125348,0.30414746543778803,0.3164924506387921,0.9609943770346256,45.62327438564305,0.3955431754874652,True,False,False,True,2,KZT,spike_only,spike,3,2021-01-01,2022-01-01,False
momentum_streak_5d__spike_only,35,35,0.0851581508515815,0.3142857142857143,0.31218274111675126,1.0067363530778164,59.59348706338719,0.9148418491484185,True,False,False,True,2,KZT,spike_only,spike,3,2022-01-01,2023-01-01,False
momentum_streak_2d__spike_only,284,284,0.6147186147186147,0.2992957746478873,0.3116824537663509,0.9602586575895314,47.93408926799212,0.38528138528138534,True,False,False,True,2,KZT,spike_only,spike,3,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,44,44,0.08576998050682261,0.3181818181818182,0.3210227272727273,0.991150442477876,64.71727238167536,0.9142300194931774,True,False,False,True,2,KZT,spike_only,spike,3,2024-01-01,2025-01-01,False
momentum_streak_5d__spike_only,47,47,0.08333333333333333,0.3404255319148936,0.3219026548672566,1.0575418585947212,65.13075967205366,0.9166666666666666,True,False,False,True,2,KZT,spike_only,spike,3,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,51,51,0.08292682926829269,0.37254901960784315,0.31699898614396754,1.1752372590827376,63.78059052179319,0.9170731707317074,True,False,False,True,2,KZT,spike_only,spike,3,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,60,60,0.2912621359223301,0.3333333333333333,0.30628803245436104,1.0883002207505519,87.59856301643835,0.7087378640776699,True,False,False,True,2,TJS,spike_only,spike,3,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,70,70,0.2723735408560311,0.32857142857142857,0.31305758313057586,1.0495558845299777,80.4075730727126,0.727626459143969,True,False,False,True,2,TJS,spike_only,spike,3,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,88,88,0.2857142857142857,0.29545454545454547,0.3076402974983097,0.9603896103896105,70.46206974062669,0.7142857142857143,True,False,False,True,2,TJS,spike_only,spike,3,2020-01-01,2021-01-01,False
momentum_streak_5d__spike_only,30,30,0.08356545961002786,0.36666666666666664,0.3124274099883856,1.1736059479553902,77.05006297782323,0.9164345403899722,True,False,False,True,2,TJS,spike_only,spike,3,2021-01-01,2022-01-01,False
momentum_streak_5d__spike_only,34,34,0.0827250608272506,0.35294117647058826,0.3111675126903553,1.1342481527684485,70.46022125313061,0.9172749391727494,True,False,False,True,2,TJS,spike_only,spike,3,2022-01-01,2023-01-01,False
momentum_streak_5d__spike_only,40,40,0.08658008658008658,0.35,0.31709517365809653,1.1037695590327168,72.15947056943932,0.9134199134199135,True,False,False,True,2,TJS,spike_only,spike,3,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,45,45,0.08771929824561403,0.3333333333333333,0.3299512987012987,1.010250102501025,69.83362134727928,0.9122807017543859,True,False,False,True,2,TJS,spike_only,spike,3,2024-01-01,2025-01-01,False
