currency,strategy_id,signal_family,scenario,parameters,horizon,target_definition,signal_count,evaluated_signal_count,signals_per_week,hit_rate,random_hit_rate_mean,hit_lift,hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,median_gap_days,max_gap_days,first_signal,last_signal
AMD,corridor_exit_down_L5_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",2,no_lower_price_in_next_h_observations,76,76,0.49032258064516127,0.3026315789473684,0.40342105263157896,0.7501630789302022,0.9700996677740864,35.90585437510785,18.447863179378462,53.30160054958855,0.0033222591362126247,-27.038662591065314,0.1585176810623918,12.0,52.0,2023-09-12,2026-08-21
AMD,corridor_exit_down_L5_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",2,no_lower_price_in_next_h_observations,65,65,0.41935483870967744,0.35384615384615387,0.4013333333333334,0.8816764630718119,0.8504983388704319,43.54920255559646,21.697697358929616,67.63336003088196,0.0033222591362126247,-32.55149028227838,-0.3222154348747161,11.5,92.0,2023-09-13,2026-08-21
AMD,corridor_exit_down_L5_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",2,no_lower_price_in_next_h_observations,49,49,0.3161290322580645,0.32653061224489793,0.40326530612244893,0.8097165991902834,0.9003322259136213,52.76767893014442,26.256051780799407,83.94371088360845,0.0033222591362126247,-35.95176885815525,-1.8291095580846126,14.5,123.0,2023-09-13,2026-07-08
AMD,corridor_exit_down_L5_r50_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}",2,no_lower_price_in_next_h_observations,14,14,0.09032258064516129,0.21428571428571427,0.4011904761904762,0.5341246290801186,0.9568106312292359,9.867779346811442,-18.311296677393436,36.35606506441656,0.2026578073089701,-60.52520227086996,1.6680296238971681,39.0,271.0,2023-09-30,2026-07-25
AMD,corridor_exit_down_L5_r50_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}",2,no_lower_price_in_next_h_observations,11,11,0.07096774193548387,0.36363636363636365,0.4018181818181818,0.904977375565611,0.707641196013289,29.678433495617938,-3.645246823040989,67.0171994410885,0.08637873754152824,-55.85123060106398,-1.7143953361832571,57.5,269.0,2023-10-03,2025-11-14
AMD,corridor_exit_down_L5_r50_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}",2,no_lower_price_in_next_h_observations,7,7,0.04516129032258064,0.42857142857142855,0.4019047619047619,1.066350710900474,0.5880398671096345,28.492248440326527,-18.409351048149198,84.49322129196469,0.23920265780730898,-88.73798394729413,0.4276644632368965,69.5,269.0,2023-10-03,2025-05-30
KGS,corridor_exit_down_L10_r100_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 100.0}",2,no_lower_price_in_next_h_observations,4,4,0.025806451612903226,0.0,0.4008333333333333,0.0,1.0,30.26455066005129,4.507904218191694,67.726259426375,0.046511627906976744,-23.427692447009207,5.5532649138241705,136.0,395.0,2024-05-21,2025-11-22
KGS,corridor_exit_down_L10_r100_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 100.0}",2,no_lower_price_in_next_h_observations,2,2,0.012903225806451613,0.0,0.405,0.0,1.0,56.5320997851293,25.49538182454958,87.56881774570901,0.0033222591362126247,26.5160529541697,4.723166036786814,134.0,134.0,2025-07-11,2025-11-22
KGS,corridor_exit_down_L10_r100_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 100.0}",2,no_lower_price_in_next_h_observations,1,1,0.0064516129032258064,0.0,0.4666666666666667,0.0,1.0,87.56881774570901,,,,-7.989774858767618,12.387554286956119,,,2025-11-22,2025-11-22
KGS,corridor_exit_down_L10_r200_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 200.0}",2,no_lower_price_in_next_h_observations,18,18,0.11612903225806452,0.3333333333333333,0.3864814814814814,0.8624820316243412,0.7441860465116279,26.456434901177303,8.70359057970076,49.66053350258767,0.013289036544850499,-22.428188446235296,-1.8024216676673261,41.0,261.0,2023-11-10,2026-05-08
