window,fold_start,fold_end,currency,horizon,signal_count,signals_per_week,truth_now_hit_rate,truth_now_random,truth_now_lift,local_min_hit_rate,local_min_random,local_min_lift,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,benefit_significant_5pct,clustered_share_within_5_observations
2025-2026,2025-01-01,2026-08-06,AMD,5,59,0.7096219931271478,0.3559322033898305,0.2544987146529563,1.3985618900873138,0.05084745762711865,0.06426735218508997,0.7911864406779662,20.668480254089584,1.4630466609632862,37.690300243403286,0.026578073089700997,True,0.7796610169491526
2025-2026,2025-01-01,2026-08-06,KGS,5,72,0.865979381443299,0.2916666666666667,0.23393316195372751,1.2467948717948718,0.05555555555555555,0.056555269922879174,0.9823232323232324,22.1838822779808,4.332132744686255,36.41106577960636,0.0033222591362126247,True,0.8611111111111112
2025-2026,2025-01-01,2026-08-06,KZT,5,58,0.6975945017182131,0.3448275862068966,0.2493573264781491,1.3828652683967295,0.08620689655172414,0.061696658097686374,1.3972701149425288,30.12642268656622,0.1218542712981403,59.69143607484627,0.029900332225913623,True,0.7758620689655172
2025-2026,2025-01-01,2026-08-06,TJS,5,78,0.9381443298969072,0.38461538461538464,0.2930591259640103,1.3124156545209178,0.07692307692307693,0.056555269922879174,1.3601398601398602,25.818751232522132,3.894971275815557,43.635459450898,0.009966777408637873,True,0.8076923076923077
2025-2026,2025-01-01,2026-08-06,UZS,5,66,0.7938144329896908,0.3484848484848485,0.2596401028277635,1.3421842184218422,0.045454545454545456,0.05912596401028278,0.7687747035573123,26.808870600955977,1.5378318403518279,48.74608730849665,0.023255813953488372,True,0.7878787878787878
2025-2026,2025-01-01,2026-08-06,AMD,10,59,0.7096219931271478,0.3220338983050847,0.19023136246786632,1.6928538708199725,0.01694915254237288,0.03598971722365039,0.47094430992736075,46.47342540760155,14.50052625400042,71.5153864765237,0.006644518272425249,True,0.7796610169491526
2025-2026,2025-01-01,2026-08-06,KGS,10,72,0.865979381443299,0.2361111111111111,0.17737789203084833,1.3311191626409018,0.013888888888888888,0.028277634961439587,0.4911616161616162,48.1227839494491,22.73262334728325,70.2868169707188,0.0033222591362126247,True,0.8611111111111112
2025-2026,2025-01-01,2026-08-06,KZT,10,58,0.6975945017182131,0.27586206896551724,0.19023136246786632,1.4501397949673813,0.05172413793103448,0.03598971722365039,1.437192118226601,71.93779712133677,13.131730514598502,123.0508834127561,0.016611295681063124,True,0.7758620689655172
2025-2026,2025-01-01,2026-08-06,TJS,10,78,0.9381443298969072,0.32051282051282054,0.2236503856041131,1.433097553787209,0.02564102564102564,0.028277634961439587,0.9067599067599068,50.80378643536087,19.024144624357703,76.6999313976718,0.0033222591362126247,True,0.8076923076923077
2025-2026,2025-01-01,2026-08-06,UZS,10,66,0.7938144329896908,0.3333333333333333,0.19023136246786632,1.7522522522522521,0.015151515151515152,0.02570694087403599,0.5893939393939394,58.574709344763164,23.09636000950134,95.11927361600296,0.006644518272425249,True,0.7878787878787878
2025-2026,2025-01-01,2026-08-06,AMD,20,59,0.7096219931271478,0.288135593220339,0.14652956298200515,1.9663990484686291,0.01694915254237288,0.015424164524421594,1.0988700564971752,89.74193755511236,48.51652516336989,128.32979970459098,0.0033222591362126247,True,0.7796610169491526
2025-2026,2025-01-01,2026-08-06,KGS,20,72,0.865979381443299,0.2222222222222222,0.13881748071979436,1.6008230452674894,0.0,0.015424164524421594,0.0,92.17711872998797,55.94052605485271,129.00987133910186,0.0033222591362126247,True,0.8611111111111112
2025-2026,2025-01-01,2026-08-06,KZT,20,58,0.6975945017182131,0.2413793103448276,0.14395886889460155,1.6767241379310345,0.017241379310344827,0.012853470437017995,1.3413793103448275,118.74158745194622,7.1293040047250145,198.24713638184406,0.026578073089700997,True,0.7758620689655172
2025-2026,2025-01-01,2026-08-06,TJS,20,78,0.9381443298969072,0.3076923076923077,0.17223650385604114,1.7864523536165327,0.02564102564102564,0.017994858611825194,1.4249084249084247,94.67048726382463,60.051342275124796,127.43026548811144,0.0033222591362126247,True,0.8076923076923077
2025-2026,2025-01-01,2026-08-06,UZS,20,66,0.7938144329896908,0.3333333333333333,0.15424164524421594,2.161111111111111,0.015151515151515152,0.017994858611825194,0.841991341991342,108.90485258540653,81.8771356184973,162.49670078452044,0.0033222591362126247,True,0.7878787878787878
