date,currency,observation_index,calendar_anchor,anchor_day,days_from_anchor,level_percentile_20,attractive,reminder_fallback,signal_source,message_fact
2025-05-20,UZS,3796,2025-05-20,20,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-05,AMD,3808,2025-06-05,5,0,0.95,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 95% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-05,KGS,3808,2025-06-05,5,0,0.95,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 95% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-05,KZT,3808,2025-06-05,5,0,0.95,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 95% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-05,TJS,3808,2025-06-05,5,0,0.1,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-06-05,UZS,3808,2025-06-05,5,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-20,AMD,3817,2025-06-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-20,KGS,3817,2025-06-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-20,KZT,3817,2025-06-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-06-20,TJS,3817,2025-06-20,20,0,0.35,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-06-20,UZS,3817,2025-06-20,20,0,0.1,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-07-05,AMD,3828,2025-07-05,5,0,0.2,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-07-05,KGS,3828,2025-07-05,5,0,0.2,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-07-05,KZT,3828,2025-07-05,5,0,0.5,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-07-05,TJS,3828,2025-07-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-07-05,UZS,3828,2025-07-05,5,0,0.05,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-07-20,AMD,3838,2025-07-20,20,0,0.35,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-07-20,KGS,3838,2025-07-20,20,0,0.65,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-07-20,KZT,3838,2025-07-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-07-20,TJS,3838,2025-07-20,20,0,0.05,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-07-20,UZS,3838,2025-07-20,20,0,0.6,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-08-05,AMD,3849,2025-08-05,5,0,0.2,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-08-05,KGS,3849,2025-08-05,5,0,0.3,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-08-05,KZT,3849,2025-08-05,5,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-08-05,TJS,3849,2025-08-05,5,0,0.2,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-08-05,UZS,3849,2025-08-05,5,0,0.3,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-08-20,AMD,3860,2025-08-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-08-20,KGS,3860,2025-08-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-08-20,KZT,3860,2025-08-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-08-20,TJS,3860,2025-08-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-08-20,UZS,3860,2025-08-20,20,0,0.1,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-09-05,AMD,3872,2025-09-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-09-05,KGS,3872,2025-09-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-09-05,KZT,3872,2025-09-05,5,0,0.05,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-09-05,TJS,3872,2025-09-05,5,0,0.1,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-09-05,UZS,3872,2025-09-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-09-20,AMD,3883,2025-09-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-09-20,KGS,3883,2025-09-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-09-20,KZT,3883,2025-09-20,20,0,0.2,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-09-20,TJS,3883,2025-09-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-09-20,UZS,3883,2025-09-20,20,0,0.1,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-10-05,AMD,3893,2025-10-05,5,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-10-05,KGS,3893,2025-10-05,5,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-10-05,KZT,3893,2025-10-05,5,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-10-05,TJS,3893,2025-10-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-10-05,UZS,3893,2025-10-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-10-20,AMD,3903,2025-10-20,20,0,0.75,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-10-20,KGS,3903,2025-10-20,20,0,0.8,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 80% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-10-20,KZT,3903,2025-10-20,20,0,0.45,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-10-20,TJS,3903,2025-10-20,20,0,0.55,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-10-20,UZS,3903,2025-10-20,20,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-11-05,AMD,3914,2025-11-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-11-05,KGS,3914,2025-11-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-11-05,KZT,3914,2025-11-05,5,0,0.05,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-11-05,TJS,3914,2025-11-05,5,0,0.55,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-11-05,UZS,3914,2025-11-05,5,0,0.35,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-11-20,AMD,3925,2025-11-20,20,0,0.5,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-11-20,KGS,3925,2025-11-20,20,0,0.7,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-11-20,KZT,3925,2025-11-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-11-20,TJS,3925,2025-11-20,20,0,0.75,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-11-20,UZS,3925,2025-11-20,20,0,0.2,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-12-05,AMD,3936,2025-12-05,5,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-12-05,KGS,3936,2025-12-05,5,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-12-05,KZT,3936,2025-12-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-12-05,TJS,3936,2025-12-05,5,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-12-05,UZS,3936,2025-12-05,5,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-12-20,AMD,3947,2025-12-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-12-20,KGS,3947,2025-12-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-12-20,KZT,3947,2025-12-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-12-20,TJS,3947,2025-12-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-12-20,UZS,3947,2025-12-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-01-05,AMD,3954,2026-01-05,5,0,0.5,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-01-05,KGS,3954,2026-01-05,5,0,0.5,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-01-05,KZT,3954,2026-01-05,5,0,0.1,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-01-05,TJS,3954,2026-01-05,5,0,0.5,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-01-05,UZS,3954,2026-01-05,5,0,0.5,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
