window_immediate,fold_start_immediate,fold_end_immediate,currency,horizon,signal_count_immediate,signals_per_week_immediate,truth_now_hit_rate_immediate,truth_now_random_immediate,truth_now_lift_immediate,local_min_hit_rate_immediate,local_min_random_immediate,local_min_lift_immediate,benefit_bps_immediate,benefit_ci_low_95_immediate,benefit_ci_high_95_immediate,benefit_p_value_vs_zero_immediate,benefit_significant_5pct_immediate,clustered_share_within_5_observations_immediate,window_confirmed,fold_start_confirmed,fold_end_confirmed,signal_count_confirmed,signals_per_week_confirmed,truth_now_hit_rate_confirmed,truth_now_random_confirmed,truth_now_lift_confirmed,local_min_hit_rate_confirmed,local_min_random_confirmed,local_min_lift_confirmed,benefit_bps_confirmed,benefit_ci_low_95_confirmed,benefit_ci_high_95_confirmed,benefit_p_value_vs_zero_confirmed,benefit_significant_5pct_confirmed,clustered_share_within_5_observations_confirmed,lift_change,benefit_change_bps,frequency_change
2025-2026,2025-01-01,2026-08-06,AMD,5,34,0.4089347079037801,0.35294117647058826,0.2544987146529563,1.3868092691622103,0.08823529411764706,0.06426735218508997,1.3729411764705883,21.735608743523443,0.16749000475201115,40.976516806208195,0.026578073089700997,True,0.6176470588235294,2025-2026,2025-01-01,2026-08-06,19,0.22852233676975947,0.21052631578947367,0.2544987146529563,0.8272195640616692,0.10526315789473684,0.06426735218508997,1.6378947368421053,42.20182246540918,11.534173675075976,64.45890893623077,0.0033222591362126247,True,0.3684210526315789,-0.5595897051005411,20.466213721885737,-0.18041237113402064
2025-2026,2025-01-01,2026-08-06,KGS,5,43,0.5171821305841925,0.3023255813953488,0.23393316195372751,1.2923588039867109,0.09302325581395349,0.056555269922879174,1.6448202959830867,22.055843927560133,2.3938168876283115,38.12632556017301,0.009966777408637873,True,0.7674418604651163,2025-2026,2025-01-01,2026-08-06,34,0.4089347079037801,0.11764705882352941,0.23393316195372751,0.5029088558500323,0.029411764705882353,0.056555269922879174,0.5200534759358288,31.627049244205985,10.846237207772546,47.37954222461191,0.009966777408637873,True,0.7058823529411765,-0.7894499481366786,9.571205316645852,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,KZT,5,35,0.4209621993127148,0.3142857142857143,0.2493573264781491,1.260382916053019,0.08571428571428572,0.061696658097686374,1.3892857142857142,26.524855703920533,-4.1420550279667765,61.14773673434404,0.046511627906976744,True,0.6285714285714286,2025-2026,2025-01-01,2026-08-06,21,0.25257731958762886,0.38095238095238093,0.2493573264781491,1.5277368679430534,0.23809523809523808,0.061696658097686374,3.859126984126984,68.25755316292455,32.889915147296605,92.71427469823752,0.0033222591362126247,True,0.5714285714285714,0.2673539518900343,41.732697459004015,-0.16838487972508592
2025-2026,2025-01-01,2026-08-06,TJS,5,45,0.5412371134020619,0.37777777777777777,0.2930591259640103,1.289083820662768,0.06666666666666667,0.056555269922879174,1.178787878787879,26.511346816049855,7.890057417115344,47.32266863479111,0.009966777408637873,True,0.6444444444444445,2025-2026,2025-01-01,2026-08-06,16,0.19243986254295534,0.1875,0.2930591259640103,0.6398026315789473,0.0625,0.056555269922879174,1.1051136363636365,62.07164055496136,38.46376417440685,74.78841877933888,0.0033222591362126247,True,0.5,-0.6492811890838206,35.56029373891151,-0.3487972508591066
2025-2026,2025-01-01,2026-08-06,UZS,5,44,0.5292096219931272,0.3409090909090909,0.2596401028277635,1.3130063006300627,0.06818181818181818,0.05912596401028278,1.1531620553359683,26.955555366266616,1.7493982816324163,52.80897750494515,0.016611295681063124,True,0.6818181818181818,2025-2026,2025-01-01,2026-08-06,35,0.4209621993127148,0.34285714285714286,0.2596401028277635,1.3205091937765205,0.17142857142857143,0.05912596401028278,2.8993788819875776,35.43083220287872,9.333477931934155,52.003600411247376,0.006644518272425249,True,0.6857142857142857,0.007502893146457801,8.475276836612103,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,AMD,10,34,0.4089347079037801,0.29411764705882354,0.19023136246786632,1.5461049284578698,0.029411764705882353,0.03598971722365039,0.8172268907563025,41.43478559014656,9.094023552193036,65.07467192388367,0.009966777408637873,True,0.6176470588235294,2025-2026,2025-01-01,2026-08-06,19,0.22852233676975947,0.15789473684210525,0.19023136246786632,0.8300142247510669,0.05263157894736842,0.03598971722365039,1.462406015037594,62.848565811226024,25.85549364810818,93.61031573006825,0.0033222591362126247,True,0.3684210526315789,-0.716090703706803,21.413780221079463,-0.18041237113402064
2025-2026,2025-01-01,2026-08-06,KGS,10,43,0.5171821305841925,0.2558139534883721,0.17737789203084833,1.4421975058982137,0.023255813953488372,0.028277634961439587,0.8224101479915433,45.852973036474566,13.119664479519557,70.30828993376889,0.0033222591362126247,True,0.7674418604651163,2025-2026,2025-01-01,2026-08-06,34,0.4089347079037801,0.08823529411764706,0.17737789203084833,0.49744245524296676,0.0,0.028277634961439587,0.0,59.845602402250435,24.874193814640236,83.1222331385224,0.006644518272425249,True,0.7058823529411765,-0.9447550506552469,13.99262936577587,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,KZT,10,35,0.4209621993127148,0.2571428571428571,0.19023136246786632,1.3517374517374516,0.05714285714285714,0.03598971722365039,1.5877551020408163,65.20873573606791,8.983160301982494,123.86390191692833,0.013289036544850499,True,0.6285714285714286,2025-2026,2025-01-01,2026-08-06,21,0.25257731958762886,0.3333333333333333,0.19023136246786632,1.7522522522522521,0.19047619047619047,0.03598971722365039,5.29251700680272,102.74263391168734,44.59705418467331,134.6767176634255,0.0033222591362126247,True,0.5714285714285714,0.4005148005148005,37.53389817561943,-0.16838487972508592
2025-2026,2025-01-01,2026-08-06,TJS,10,45,0.5412371134020619,0.3111111111111111,0.2236503856041131,1.3910600255427843,0.022222222222222223,0.028277634961439587,0.7858585858585859,47.16496933389606,18.56168599610406,71.99591403376999,0.0033222591362126247,True,0.6444444444444445,2025-2026,2025-01-01,2026-08-06,16,0.19243986254295534,0.1875,0.2236503856041131,0.8383620689655172,0.0625,0.028277634961439587,2.210227272727273,107.62189261512816,76.23350418209583,128.19423431175963,0.0033222591362126247,True,0.5,-0.5526979565772671,60.4569232812321,-0.3487972508591066
2025-2026,2025-01-01,2026-08-06,UZS,10,44,0.5292096219931272,0.3181818181818182,0.19023136246786632,1.6726044226044225,0.022727272727272728,0.02570694087403599,0.884090909090909,57.981131780380046,21.214440187201944,97.9419459621681,0.009966777408637873,True,0.6818181818181818,2025-2026,2025-01-01,2026-08-06,35,0.4209621993127148,0.34285714285714286,0.19023136246786632,1.8023166023166024,0.08571428571428572,0.02570694087403599,3.334285714285714,69.76789384126285,19.71049380924623,103.70713226742461,0.009966777408637873,True,0.6857142857142857,0.12971217971217985,11.7867620608828,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,AMD,20,34,0.4089347079037801,0.2647058823529412,0.14652956298200515,1.806501547987616,0.029411764705882353,0.015424164524421594,1.9068627450980393,76.0083466724548,24.218103988922906,135.21529418651772,0.006644518272425249,True,0.6176470588235294,2025-2026,2025-01-01,2026-08-06,19,0.22852233676975947,0.15789473684210525,0.14652956298200515,1.077562326869806,0.0,0.015424164524421594,0.0,93.2727606274176,30.919602851438725,153.84696734818507,0.006644518272425249,True,0.3684210526315789,-0.7289392211178101,17.26441395496279,-0.18041237113402064
2025-2026,2025-01-01,2026-08-06,KGS,20,43,0.5171821305841925,0.23255813953488372,0.13881748071979436,1.6752799310938844,0.0,0.015424164524421594,0.0,90.5178780564831,51.11697637211665,130.5402543061241,0.0033222591362126247,True,0.7674418604651163,2025-2026,2025-01-01,2026-08-06,34,0.4089347079037801,0.08823529411764706,0.13881748071979436,0.6356209150326797,0.0,0.015424164524421594,0.0,109.90270471312239,62.7343850925069,146.7171027485653,0.0033222591362126247,True,0.7058823529411765,-1.0396590160612047,19.38482665663929,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,KZT,20,35,0.4209621993127148,0.22857142857142856,0.14395886889460155,1.5877551020408163,0.02857142857142857,0.012853470437017995,2.222857142857143,112.53907811610215,30.215029951305894,194.69993164856072,0.009966777408637873,True,0.6285714285714286,2025-2026,2025-01-01,2026-08-06,21,0.25257731958762886,0.23809523809523808,0.14395886889460155,1.6539115646258502,0.09523809523809523,0.012853470437017995,7.409523809523809,143.6633173701477,51.79602846310351,204.89724014646103,0.0033222591362126247,True,0.5714285714285714,0.06615646258503394,31.12423925404555,-0.16838487972508592
2025-2026,2025-01-01,2026-08-06,TJS,20,45,0.5412371134020619,0.28888888888888886,0.17223650385604114,1.6772802653399665,0.022222222222222223,0.017994858611825194,1.234920634920635,88.41557553345082,59.42893183815144,124.226348403933,0.0033222591362126247,True,0.6444444444444445,2025-2026,2025-01-01,2026-08-06,16,0.19243986254295534,0.1875,0.17223650385604114,1.0886194029850746,0.0625,0.017994858611825194,3.4732142857142856,166.6204992991943,125.90694630648522,210.23922572131198,0.0033222591362126247,True,0.5,-0.5886608623548919,78.20492376574349,-0.3487972508591066
2025-2026,2025-01-01,2026-08-06,UZS,20,44,0.5292096219931272,0.3181818181818182,0.15424164524421594,2.062878787878788,0.022727272727272728,0.017994858611825194,1.2629870129870129,106.59114003597183,76.48303614163066,165.57943985554985,0.0033222591362126247,True,0.6818181818181818,2025-2026,2025-01-01,2026-08-06,35,0.4209621993127148,0.34285714285714286,0.15424164524421594,2.222857142857143,0.08571428571428572,0.017994858611825194,4.763265306122449,113.19004524351668,71.31287200493395,168.22243650963998,0.0033222591362126247,True,0.6857142857142857,0.1599783549783549,6.5989052075448456,-0.10824742268041238
