window,fold_start,fold_end,currency,horizon,signal_count,signals_per_week,truth_now_hit_rate,truth_now_random,truth_now_lift,local_min_hit_rate,local_min_random,local_min_lift,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,benefit_significant_5pct,clustered_share_within_5_observations
2025-2026,2025-01-01,2026-08-06,AMD,5,34,0.4089347079037801,0.35294117647058826,0.2544987146529563,1.3868092691622103,0.08823529411764706,0.06426735218508997,1.3729411764705883,21.735608743523443,0.16749000475201115,40.976516806208195,0.026578073089700997,True,0.6176470588235294
2025-2026,2025-01-01,2026-08-06,KGS,5,43,0.5171821305841925,0.3023255813953488,0.23393316195372751,1.2923588039867109,0.09302325581395349,0.056555269922879174,1.6448202959830867,22.055843927560133,2.3938168876283115,38.12632556017301,0.009966777408637873,True,0.7674418604651163
2025-2026,2025-01-01,2026-08-06,KZT,5,35,0.4209621993127148,0.3142857142857143,0.2493573264781491,1.260382916053019,0.08571428571428572,0.061696658097686374,1.3892857142857142,26.524855703920533,-4.1420550279667765,61.14773673434404,0.046511627906976744,True,0.6285714285714286
2025-2026,2025-01-01,2026-08-06,TJS,5,45,0.5412371134020619,0.37777777777777777,0.2930591259640103,1.289083820662768,0.06666666666666667,0.056555269922879174,1.178787878787879,26.511346816049855,7.890057417115344,47.32266863479111,0.009966777408637873,True,0.6444444444444445
2025-2026,2025-01-01,2026-08-06,UZS,5,44,0.5292096219931272,0.3409090909090909,0.2596401028277635,1.3130063006300627,0.06818181818181818,0.05912596401028278,1.1531620553359683,26.955555366266616,1.7493982816324163,52.80897750494515,0.016611295681063124,True,0.6818181818181818
2025-2026,2025-01-01,2026-08-06,AMD,10,34,0.4089347079037801,0.29411764705882354,0.19023136246786632,1.5461049284578698,0.029411764705882353,0.03598971722365039,0.8172268907563025,41.43478559014656,9.094023552193036,65.07467192388367,0.009966777408637873,True,0.6176470588235294
2025-2026,2025-01-01,2026-08-06,KGS,10,43,0.5171821305841925,0.2558139534883721,0.17737789203084833,1.4421975058982137,0.023255813953488372,0.028277634961439587,0.8224101479915433,45.852973036474566,13.119664479519557,70.30828993376889,0.0033222591362126247,True,0.7674418604651163
2025-2026,2025-01-01,2026-08-06,KZT,10,35,0.4209621993127148,0.2571428571428571,0.19023136246786632,1.3517374517374516,0.05714285714285714,0.03598971722365039,1.5877551020408163,65.20873573606791,8.983160301982494,123.86390191692833,0.013289036544850499,True,0.6285714285714286
2025-2026,2025-01-01,2026-08-06,TJS,10,45,0.5412371134020619,0.3111111111111111,0.2236503856041131,1.3910600255427843,0.022222222222222223,0.028277634961439587,0.7858585858585859,47.16496933389606,18.56168599610406,71.99591403376999,0.0033222591362126247,True,0.6444444444444445
2025-2026,2025-01-01,2026-08-06,UZS,10,44,0.5292096219931272,0.3181818181818182,0.19023136246786632,1.6726044226044225,0.022727272727272728,0.02570694087403599,0.884090909090909,57.981131780380046,21.214440187201944,97.9419459621681,0.009966777408637873,True,0.6818181818181818
2025-2026,2025-01-01,2026-08-06,AMD,20,34,0.4089347079037801,0.2647058823529412,0.14652956298200515,1.806501547987616,0.029411764705882353,0.015424164524421594,1.9068627450980393,76.0083466724548,24.218103988922906,135.21529418651772,0.006644518272425249,True,0.6176470588235294
2025-2026,2025-01-01,2026-08-06,KGS,20,43,0.5171821305841925,0.23255813953488372,0.13881748071979436,1.6752799310938844,0.0,0.015424164524421594,0.0,90.5178780564831,51.11697637211665,130.5402543061241,0.0033222591362126247,True,0.7674418604651163
2025-2026,2025-01-01,2026-08-06,KZT,20,35,0.4209621993127148,0.22857142857142856,0.14395886889460155,1.5877551020408163,0.02857142857142857,0.012853470437017995,2.222857142857143,112.53907811610215,30.215029951305894,194.69993164856072,0.009966777408637873,True,0.6285714285714286
2025-2026,2025-01-01,2026-08-06,TJS,20,45,0.5412371134020619,0.28888888888888886,0.17223650385604114,1.6772802653399665,0.022222222222222223,0.017994858611825194,1.234920634920635,88.41557553345082,59.42893183815144,124.226348403933,0.0033222591362126247,True,0.6444444444444445
2025-2026,2025-01-01,2026-08-06,UZS,20,44,0.5292096219931272,0.3181818181818182,0.15424164524421594,2.062878787878788,0.022727272727272728,0.017994858611825194,1.2629870129870129,106.59114003597183,76.48303614163066,165.57943985554985,0.0033222591362126247,True,0.6818181818181818
